rentrée;Rentrée universitaire;Niveau géographique;Unité géographique;regroupement;Regroupements de formations ou d’établissements;secteur;Secteur de l’établissement d’inscription;sexe;Sexe de l’étudiant;Nombre total d’étudiants inscrits;A des effectifs en formations de DUT;Nombre d’étudiants inscrits en DUT;A des effectifs en formations d'ingénieurs;Nombre d’étudiants inscrits dans les formations d’Ingénieur;diffusable;Données diffusables;secret;Données soumises au secret statistique;niveau_geo;Identifiant de l’unité géographique
2004;2004-05;Académie;Toulouse;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;3082.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;STS;Sections de techniciens supérieurs (STS) et assimilés;PR;Établissements privés;1;Masculin;1276.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Unité urbaine;Toulouse;CPGE;Classes préparatoires aux grandes écoles (CPGE);PU;Établissements publics;1;Masculin;1045.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;EC_ART;Écoles supérieures art et culture;PR;Établissements privés;1;Masculin;243.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;EC_autres;Autres écoles de spécialités diverses;PU;Établissements publics;1;Masculin;1459.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;ING_autres;Autres formations d'ingénieurs;PR;Établissements privés;2;Feminin;256.0;non;;oui;256.0;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;INP;Instituts nationaux polytechniques (INP);PU;Établissements publics;1;Masculin;2146.0;non;;oui;1482.0;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;1;Masculin;1260.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;STS;Sections de techniciens supérieurs (STS) et assimilés;PU;Établissements publics;2;Feminin;1526.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;47199.0;oui;1228;oui;1729.0;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Académie;Toulouse;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;1;Masculin;418.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;2;Feminin;139.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
2004;2004-05;Académie;Toulouse;EC_JUR;Écoles juridiques et administratives;PR;Établissements privés;1;Masculin;39.0;non;;non;;oui;Données diffusables;non;Autres données;ACADEMIE;A16
